set_id,design_group,model,reps,seed,t_end,Q0,A0,P0,N0,M0,G0,k_qa,k_aq,b_a,d_a,b_p,k_pn,d_p,k_nm,d_n,k_mg,d_m,d_g,eff_mean,eff_cv,tx_activation,tx_prolif,tx_maturation,tx_integration,tx_eff,tx_survival,tau
S000010,phase,full,4,31260858,56.0,60,4,8,10,15,12,0.019555277217578833,0.06685628126985052,0.12305507790007807,0.029599943503655843,0.10495852683569958,0.23377508621825266,0.12388219108914536,0.050218394381120815,0.05380705568467097,0.029518801782875578,0.00831307198208807,0.003242846598321987,0.7699795613526863,0.15681377744700614,1.0713739924905954,1.0324085684670068,1.3063547779042297,0.9500973740417844,1.185683920625878,0.7873188677337578,14.0
S000011,phase,full,4,32260861,56.0,60,4,8,10,15,12,0.03485375340095779,0.04752280944815112,0.14618450007502168,0.05619658450717587,0.1384980251942488,0.14815075388665375,0.10640967072732618,0.07272095818247026,0.024092667268905393,0.03806796599506703,0.014461249942102085,0.0013957007365456168,0.8399139822007496,0.23668996189944733,1.1911847590847482,1.2521949936514867,1.2019608178821084,1.320766343101365,1.3967301235159748,0.7710850898862576,14.0
S000012,phase,full,4,33260864,56.0,60,4,8,10,15,12,0.013174752072196348,0.054414332975224376,0.21437583552946735,0.03709973257281963,0.13764601112460773,0.2305862247992803,0.12079217915383318,0.1092281255464192,0.03663884935019941,0.035935079534250035,0.025474407943137507,0.0018704388118025114,0.6155444435182909,0.4372404138924125,1.335034953047313,1.1712010797611034,1.4454180752370591,0.9535824233986762,1.139643982245594,0.737410398605507,14.0
S000013,phase,full,4,34260867,56.0,60,4,8,10,15,12,0.01441001494715542,0.04928695748752913,0.19785404814426055,0.05489069211583358,0.13306380954172886,0.26096084481419907,0.07595444319881954,0.08738063241752904,0.0495503498143625,0.0553814144536516,0.03235057552481562,0.0056002787573323255,0.4449954293792524,0.3320380164041036,0.9789931046488847,1.2183045821783711,1.2899465505009562,1.2573354190551391,1.364693057396603,0.8897172283831997,14.0
S000014,phase,full,4,35260870,56.0,60,4,8,10,15,12,0.021557938428072795,0.03946600006809977,0.20878434980972707,0.015844983383597903,0.18048175331868008,0.15196590529996618,0.07481145521446388,0.05379198917153213,0.02274786742397445,0.026884820965823356,0.035523543982173736,0.0012095290225223195,0.4756680052182292,0.1920527639933841,1.110581424779123,1.0297922800227415,1.023521849906224,1.1794355499392823,1.384985262516484,0.9517289757545215,14.0
S000015,phase,full,4,36260873,56.0,60,4,8,10,15,12,0.022801065129775984,0.06797845007564485,0.174138158378357,0.05233559453079431,0.13257121721178786,0.2708313787900486,0.09890886633972157,0.04893777967430123,0.052805023001198714,0.06876231366590739,0.00907937267449373,0.010431657518733395,0.8342427072502376,0.19047666384180728,1.0270888939343015,0.9902628376906784,0.984335041678713,1.0975925418263173,1.171001070705576,0.8768235569301344,14.0
S000016,phase,full,4,37260876,56.0,60,4,8,10,15,12,0.025158684508483752,0.0724132177789965,0.1791420047155933,0.02589163895060316,0.1118383636342578,0.16581600918196868,0.12436009358720353,0.05554968100076614,0.02357636170230612,0.05289752522192492,0.023446238106184313,0.005388480613953675,0.5973786445509234,0.23371757730506415,1.027666002660195,1.2053999223638718,1.1222382693778616,1.0482680062331902,1.1408294831843093,0.9330908101502801,14.0
S000017,phase,full,4,38260879,56.0,60,4,8,10,15,12,0.019165281855993452,0.04952263012597272,0.182240463593731,0.046294640404208796,0.1292380753535481,0.1960363427032043,0.13446464821363324,0.11765561721380491,0.02356086711942318,0.03078505713975006,0.013471538992614307,0.002922132005774909,0.5965873603395556,0.24955765259208545,0.9775896054624469,1.2564244370227584,1.1336303354816453,1.3210930711376798,1.1369634857196027,0.8459442254045634,14.0
S000018,phase,full,4,39260882,56.0,60,4,8,10,15,12,0.025263259478988134,0.07321251613664126,0.293385769004185,0.05447860538921926,0.11267387895637909,0.20443568698983522,0.11156869450381168,0.0507311935779388,0.05713962036195632,0.02065794014041675,0.024581536711018565,0.006269944861726819,0.5663932460503548,0.3730614867828651,1.1486386830744637,0.9511244073921583,1.4490303581715265,1.3185162863141746,1.369894377966329,0.9563556484765083,14.0
S000019,phase,full,4,40260885,56.0,60,4,8,10,15,12,0.02701710114072208,0.04309103111750981,0.12225952581786222,0.04268724597820017,0.14226506364721753,0.26636419720117427,0.09310902038132085,0.05739204640346626,0.0662147872282229,0.020558700087139,0.04045040473722541,0.0015069106705915382,0.7673414082476573,0.31696010897430116,1.0606146508171506,0.9568059898649078,1.0818457097326033,1.2619818637473186,1.248076414712922,0.9720239764376765,14.0
S000020,phase,full,4,41260888,56.0,60,4,8,10,15,12,0.012767044315821862,0.03815498812335147,0.16317289564577617,0.03807118055980461,0.1438400313318533,0.2631614485103682,0.07061877265817693,0.11240382017141656,0.08129974960712735,0.03034092531315476,0.029630100371516685,0.0021553411555530707,0.5151082362979444,0.1999461370515616,1.3155120903380326,1.297056290490498,1.1124385107859567,1.2520659138832444,0.8821117862165341,1.049739314913049,14.0
S000021,phase,full,4,42260891,56.0,60,4,8,10,15,12,0.023024306697216897,0.030193380235323426,0.31372874196932654,0.04521632003294439,0.1408994757620924,0.20796138752693916,0.15340665365266345,0.06503368270434205,0.07209870326189426,0.035221538097449476,0.024336621818327814,0.006372419419739939,0.46082103764868837,0.4325197844070263,1.289638458161382,1.1272590183550106,0.9873305862625521,1.4154784942392227,1.3787662196493644,0.7235740095948414,14.0
S000022,phase,full,4,43260894,56.0,60,4,8,10,15,12,0.018759528650823903,0.046596135672681026,0.26773324902355594,0.022899924589364157,0.10637927898046855,0.2089201061799782,0.09702137414962982,0.05793363158872072,0.024677538300836018,0.03590878697251235,0.019397193388000035,0.006461638108327459,0.4833321441090639,0.36637383141549096,0.9920203839088954,1.0641471723028415,0.9048079893082346,1.1317738688742731,1.2993420329668925,1.0416389154041397,14.0
S000023,phase,full,4,44260897,56.0,60,4,8,10,15,12,0.014498676262717313,0.051035696510015695,0.19949036804118042,0.017365860674754728,0.11502822554021586,0.24890846785861978,0.06785528718593975,0.05215243429090325,0.04907304365429933,0.07788760970806144,0.01906620545965036,0.0016578189416370976,0.5890690222704853,0.38804081301769466,1.0061017274130777,1.1561245520487498,1.2237264343157723,0.8915924402675569,1.037613934680565,0.9019732471552148,14.0
S000024,phase,full,4,45260900,56.0,60,4,8,10,15,12,0.024920314251665587,0.03931522097943603,0.2108795678375625,0.017176214510415348,0.15747206154996338,0.29700849592980105,0.14216604187166448,0.1027107912133418,0.033934108959845784,0.08380165174834249,0.018636971646251575,0.0013418235008673437,0.4325992012719567,0.4288574159786678,1.2476520720464641,1.1820989417207302,1.2271456506626364,0.8894790995258199,0.8953547378175932,0.7304154465959852,14.0
S000025,phase,full,4,46260903,56.0,60,4,8,10,15,12,0.025942583774265737,0.06969679136399037,0.25478330149922734,0.018045779108507375,0.1791745224165339,0.19810898631066265,0.0667742468222332,0.04968583644402744,0.06414306998847773,0.03620347746250013,0.013014336671269887,0.003905067910205203,0.3521004062536937,0.29797195949909827,1.0712356371024743,1.0288647792821919,1.3368052730546756,0.9199095411152026,1.2419103835728875,1.0005611928079583,14.0
S000026,phase,full,4,47260906,56.0,60,4,8,10,15,12,0.012614160027847892,0.0699271471732265,0.12124869619235482,0.031762316114119206,0.19758024167708596,0.24142578329259345,0.14463972181835183,0.07444736935134388,0.08244628292579138,0.08410843769293536,0.041025771780733696,0.005984597089860849,0.5237942079127053,0.16642968834476582,1.0154646169815686,1.1907829691940324,1.0790123610151028,0.8640188894886279,0.9084937423262082,1.0285902500364001,14.0
S000027,phase,full,4,48260909,56.0,60,4,8,10,15,12,0.027087515184668155,0.03338618122705172,0.17361485833231477,0.02290547244587421,0.18653887130118124,0.1884809797112773,0.1580806281584338,0.10079132488062624,0.04426451679505154,0.06340831204556018,0.021074261742078316,0.0016977484390103942,0.8687735820548041,0.10537838516461669,1.1852574885784493,1.1020758342810597,1.3790962699022418,0.922102588480425,1.228363379400775,0.9571049032700497,14.0
S000028,phase,full,4,49260912,56.0,60,4,8,10,15,12,0.020895541555296358,0.0828600722672264,0.29809507948313685,0.055418292883422954,0.11448636571698999,0.29007066031839746,0.07173539011219028,0.0535344308597497,0.034462150402601324,0.03149173554681175,0.013114853705444391,0.001460685260811612,0.7899015721224547,0.16220420836324803,1.1314028283170172,1.0670910274192862,0.9790994162451708,1.2955232478926149,0.9888526046700694,0.7281591503372371,14.0
S000029,phase,full,4,50260915,56.0,60,4,8,10,15,12,0.028419583348428222,0.05794754417446936,0.2299106527886096,0.03099969064586488,0.15021026102400004,0.1767978788142442,0.08023453760075808,0.04865104172846652,0.021653278077756292,0.0845409869170092,0.015604769008384966,0.006630328760413034,0.6830831320065052,0.3749744572396674,0.990064098664861,1.165543689469638,0.9983732088103416,1.0488351669851907,1.3221035346605443,0.8303653892934509,14.0
S000030,phase,full,4,51260918,56.0,60,4,8,10,15,12,0.03189551772914999,0.08277746037573129,0.1269005158784416,0.040175154473498675,0.18529427551491404,0.29882738136351744,0.07550793620843028,0.12129012442269581,0.03490160753955223,0.07172687072322438,0.00810378289125993,0.0026159464749856724,0.49181669997240635,0.3575505210611698,1.2052141912346943,1.1833701030894122,1.0556369395038063,1.0421842914917239,0.9777688092266105,1.0221525634090889,14.0
S000031,phase,full,4,52260921,56.0,60,4,8,10,15,12,0.01298270188854039,0.07501684828844107,0.13766653214773023,0.02587186426845599,0.21455731839945566,0.24565634206501655,0.08396664897316693,0.05125159879787634,0.023696716325364405,0.03203541320542903,0.025272603606232246,0.0020511293475368626,0.85279832890976,0.17220906821197732,1.3498920429178625,1.1549956659218485,1.0098919362778511,0.9099958189292232,1.0944997323365844,0.8088501431268112,14.0
S000032,phase,full,4,53260924,56.0,60,4,8,10,15,12,0.03355564395015747,0.047244048650383466,0.12016572840458095,0.04787917408355921,0.15426930509999648,0.17155671369749734,0.08000628732243256,0.060010639481466746,0.04112957073536667,0.021809912646060553,0.012065474609647776,0.008772204585448454,0.7411568456155605,0.30585246609722067,1.1661488460062546,1.1102226268947541,1.0247781841287575,1.3666852807526857,1.082201951157039,0.8836741774142353,14.0
S000033,phase,full,4,54260927,56.0,60,4,8,10,15,12,0.0184206237490219,0.0401821860130234,0.28343438363817886,0.058673351982549804,0.18630068412557088,0.2318988472367918,0.12088945120428254,0.062393327442382594,0.0613425646764055,0.07254891134450075,0.015510797589779602,0.005750556291590607,0.7365380161998463,0.21507520381091316,1.2358548712264965,1.026595461922994,1.3282585355491412,1.020553929314769,1.314496416020813,0.9931679764238522,14.0
S000034,phase,full,4,55260930,56.0,60,4,8,10,15,12,0.0200080963936267,0.06455072803898819,0.24377097723411809,0.02604103007607639,0.1086990348327159,0.210773506414955,0.0741933360685759,0.0912348216924794,0.026353844091155824,0.02069287674018972,0.010249859291527875,0.011353908934494329,0.7546274219020341,0.3068383539107874,1.0037623190646916,1.0592545312256967,0.9454807947639502,1.045562244543712,0.898553381084596,0.9895822638083521,14.0
S000035,phase,full,4,56260933,56.0,60,4,8,10,15,12,0.01467218917517317,0.04514454485007866,0.23639776188857928,0.02882289391753857,0.10724782340085105,0.26362095892556936,0.15938259597738358,0.06047211018367578,0.02914207630102243,0.04831191305345578,0.02854499204848151,0.0027625656528479712,0.5817054289004923,0.4073134509226731,1.190460787448256,0.9972737775228899,0.9963710317971595,1.022849647567454,0.9535378400527096,0.7908285939242778,14.0
S000036,phase,full,4,57260936,56.0,60,4,8,10,15,12,0.014815756066078043,0.042046697393295286,0.29865267440392657,0.018486894390393607,0.13143912255154408,0.18945335039732716,0.08634176730156665,0.08719180957078898,0.05612462137201352,0.05833626821668463,0.011280323251049046,0.002158683067178569,0.5948200152980775,0.1129871972346859,0.9583479159222195,1.009914299037712,1.0591218993495302,1.144696425643199,1.2372897919505936,0.911505095457846,14.0
S000037,phase,full,4,58260939,56.0,60,4,8,10,15,12,0.01596553824572815,0.043479263800816036,0.1254335205054073,0.0375598832424311,0.1629953028413198,0.18260981724660105,0.10883917337965225,0.11937304331094484,0.08120316005785948,0.07577659739801003,0.010860892220248318,0.006139418251604451,0.7007717191086031,0.19637872626641534,1.1902591912595144,1.0652410510940469,1.4721137104579765,1.1497610561805856,1.2708527527631055,0.969751733753245,14.0
S000038,phase,full,4,59260942,56.0,60,4,8,10,15,12,0.01853473526345324,0.03424758400171658,0.1617246586198447,0.05050266989314054,0.16041747443588808,0.24584845283768872,0.09991984207392572,0.12805191761340695,0.02146640748178232,0.03367856246927797,0.016407569631861532,0.010650455342931927,0.8931879794112582,0.4221030883594735,1.146384460780248,1.085402895278379,1.349809998716675,0.8924997892728673,1.2653710984211144,0.8999344937140265,14.0
S000039,phase,full,4,60260945,56.0,60,4,8,10,15,12,0.029622067494565692,0.03956226476771317,0.31207497832752074,0.02475434141897017,0.21372867032722412,0.1799827083957746,0.0943700539330737,0.05581005743817801,0.03872625240691211,0.0354883328920817,0.03884534395846443,0.010897802268112563,0.5602453884915859,0.28880263089538816,1.1951345822768848,1.2734323196546118,0.9697980406317652,1.3925015962469653,1.2551346048025176,0.7718370208557793,14.0
S000040,phase,full,4,61260948,56.0,60,4,8,10,15,12,0.01747770423670113,0.0418204327299844,0.21964182759353768,0.04399541900403657,0.11346469674253071,0.17256408380366797,0.13111931519265851,0.07183497359184743,0.0831441776705424,0.0332583185168771,0.012015674336419653,0.004756006639350455,0.755603632981752,0.23797483627637553,0.9912889369208402,1.0053284939599958,0.963835336403545,1.2999585299819219,0.8972471307545763,0.7833297327732862,14.0
S000041,phase,full,4,62260951,56.0,60,4,8,10,15,12,0.018454539574438877,0.05579686193120517,0.2244269110069757,0.016395762823604713,0.21194643838465957,0.2501823456205258,0.17659464168355857,0.07991750037898697,0.024424174775088604,0.04030633431054254,0.02550853884173767,0.0014189952553394548,0.4635642552661635,0.3360506319305188,0.9806527943401432,1.0639227319353466,1.3247825328234106,1.2371471789941504,0.9651240186136616,0.8584315764881065,14.0
S000042,phase,full,4,63260954,56.0,60,4,8,10,15,12,0.01497530208768372,0.045804907479964345,0.18857920934953226,0.02838362062125669,0.11107352404366427,0.19151785955033682,0.060123820952335504,0.049557038872235164,0.04967873799769906,0.049110498952795296,0.025579695200179477,0.006167667282265658,0.37795091234444655,0.32783797894911454,1.0873981853552408,1.0656303649197374,1.300336120349522,0.8923833234085999,1.222676219162191,1.0398671674565891,14.0
S000043,phase,full,4,64260957,56.0,60,4,8,10,15,12,0.02326276235791574,0.05431570333606871,0.14630256796870797,0.0443787439191034,0.11011300958306212,0.17721551203409916,0.12430645995267339,0.05306088699657208,0.04149897485783076,0.0654628327691199,0.011194051379716734,0.0015580252199073354,0.872849327489157,0.41835475313610593,1.2918720672051023,1.0023376593092492,1.2707181013790578,1.039607446233862,0.941307530372593,0.8939138940430424,14.0
S000044,phase,full,4,65260960,56.0,60,4,8,10,15,12,0.013959781069781024,0.03386507674453886,0.2238219753901002,0.028062312982214423,0.10862204732810937,0.2816053006562337,0.13509621362023508,0.06579719618097798,0.07699018052013418,0.03906950008319646,0.016815934937887564,0.0016116553453948248,0.6281860315570575,0.303760127407374,1.25676738176324,1.2896859072898734,1.2091369556881375,1.1201950228967452,1.0594599857057687,0.9506362518824393,14.0
S000045,phase,full,4,66260963,56.0,60,4,8,10,15,12,0.01380737573891774,0.07388996198498986,0.13706019608162537,0.016769532317866796,0.1344943775607029,0.2559186690305847,0.06388816964588816,0.1230424825860923,0.02017989701082045,0.06628918678952657,0.02802894630109542,0.0032128922931864996,0.7455144223241321,0.304426577133097,1.2130862674096405,1.0533497719154299,0.9635410551094743,1.2965623230593863,1.2000126793843993,0.9497649003883839,14.0
S000046,phase,full,4,67260966,56.0,60,4,8,10,15,12,0.016771175568450078,0.05302255856008713,0.27121028266875213,0.04164338090739336,0.13159769551191156,0.17514439754247643,0.11999099088008791,0.09343389248519979,0.05483080405830149,0.05633124903378632,0.03144866958780637,0.002728860904690438,0.5496284074555647,0.23738703973055833,1.0718397956907582,1.1036449429427269,0.9216941904310942,1.4174305856845453,1.315408418237654,0.8249323942107888,14.0
S000047,phase,full,4,68260969,56.0,60,4,8,10,15,12,0.016707976902072503,0.039509420961444344,0.20772795911810196,0.031465437308712936,0.10152487160188575,0.23581551042129098,0.17550378089525112,0.06769414580538081,0.03485981460293314,0.08418702425549782,0.017628551785486873,0.001846174088472786,0.4312059223824003,0.147604688770207,1.058485089356599,1.035680432143593,1.1463409055002471,1.0447893788109093,1.217762032330276,0.9957547597949424,14.0
S000048,phase,full,4,69260972,56.0,60,4,8,10,15,12,0.03284858889001274,0.05706470055429437,0.12922753218664848,0.02030110859822532,0.19594463065304132,0.27713926088177016,0.08501977446219822,0.04736727789013968,0.061724920871765294,0.029170166442404614,0.03242162459602941,0.0014102758139409135,0.4433478444646949,0.43776817379707267,1.0252071228383568,1.2804042115882082,1.2336624811536463,0.9488786660258081,1.0902444651973098,0.9020804608478894,14.0
S000049,phase,full,4,70260975,56.0,60,4,8,10,15,12,0.02053921574599652,0.03797020033914086,0.21658801795305904,0.01923299860853161,0.10168070920896914,0.16190010908873662,0.10882767036259024,0.06570361953261242,0.06774397703254846,0.03502840766354287,0.019011870121246412,0.002524364838287736,0.3850579917884779,0.24627858763010702,1.0041640346686076,0.9889694030792708,1.199286082006223,0.8503360513010103,1.2409952708800167,0.734483505685971,14.0
S000050,phase,full,4,71260978,56.0,60,4,8,10,15,12,0.021590156262537196,0.061710837714051184,0.1767336813571165,0.017306880704438716,0.1624519020608251,0.14227412738005824,0.10331506815240556,0.0511208376115719,0.03561663807350997,0.07139749151803398,0.02673654860730058,0.0013354732105721728,0.5923247388368043,0.42165098094966513,1.0336482113459935,1.002766314812351,1.0721886646310237,1.332383966388502,0.9743227263307269,0.8149187441562125,14.0
S000051,phase,full,4,72260981,56.0,60,4,8,10,15,12,0.016555009791742452,0.05963898616111908,0.2654723816405365,0.028481248472480656,0.15437421464044185,0.1466430185572363,0.14158091294765246,0.050410987214748494,0.06287318228723618,0.024409064960684183,0.034509323372993866,0.0030455093232978764,0.3558235272044139,0.10601730359240667,0.9859578036005507,1.0214730652612263,1.1947949316055977,1.3159476801146741,0.869547521171141,0.727200786473243,14.0
S000052,phase,full,4,73260984,56.0,60,4,8,10,15,12,0.019198194233552058,0.06860854457983562,0.19348185922127967,0.035737497697744515,0.1004594145438615,0.23311305531450477,0.16654445894172254,0.04997422280974709,0.020350237441300822,0.029040654190331937,0.023514115099570153,0.0030394039674055576,0.616720740418023,0.4314384291164466,0.9899565872606488,0.9514034015307119,0.9310523736259082,1.1451059656227407,1.2271717921745506,0.919277282496224,14.0
S000053,phase,full,4,74260987,56.0,60,4,8,10,15,12,0.02769425408917405,0.08226681011595639,0.27243614188050164,0.04726262685238802,0.1569510820328626,0.2594586719787838,0.16859621171541447,0.08065915583079485,0.07103189933558737,0.02158107786540884,0.011541240689865269,0.0013459650157232204,0.7803606200470814,0.19528546142525222,1.297049957742699,1.1824932710732183,1.241737885295607,0.8906806078426056,0.9791383447447516,0.9623296274902753,14.0
S000054,phase,full,4,75260990,56.0,60,4,8,10,15,12,0.021952772781584633,0.032452432201752396,0.3190099020541453,0.0253850520383108,0.10854672527351002,0.21516947692195987,0.10701621113860285,0.07238591431314614,0.08262445436307009,0.06794581412934979,0.03210621135658236,0.0010330016737416436,0.48424193454516395,0.37455229196702866,1.0181453611975242,1.013449393146404,1.1569072126359117,0.9803147444625073,1.3019507564469714,0.9307375658820914,14.0
S000055,phase,full,4,76260993,56.0,60,4,8,10,15,12,0.012588581360644904,0.04456899017685985,0.29470217330431764,0.024593661062924883,0.21639018389915812,0.18187970250995286,0.06791655100628796,0.054528963914747985,0.03538775976137627,0.060822255563557893,0.03896430524066536,0.0044821135916620755,0.6191561018880221,0.19905200165692205,0.9591727966633966,1.1086121372328035,1.1458934666853664,1.0415593533394418,1.2591524840312491,0.7665810085278157,14.0
S000056,phase,full,4,77260996,56.0,60,4,8,10,15,12,0.016296676488968292,0.07349447503473466,0.15130550584468191,0.020530599586395217,0.10733079899307353,0.26927649151458,0.06788939266231296,0.058628387584383955,0.03714289988783986,0.03286749705807589,0.009684432010370746,0.005423718194265077,0.8593270600869581,0.10057314699654633,1.1732392244739864,1.0801612668197165,1.1281442567348325,1.2323253280626367,1.1436648908254579,0.9841985850240895,14.0
S000057,phase,full,4,78260999,56.0,60,4,8,10,15,12,0.012701010543797712,0.0460698028590824,0.2702406420538015,0.024850375059676962,0.2072850152572563,0.14772738192383833,0.13716335184383216,0.08884382480188226,0.040881431840245265,0.024766590159335553,0.02085075639789733,0.003159110293944489,0.7810332181049701,0.11134798238650874,1.2081986225136154,1.1640472510010462,0.922188970004913,1.1625196483525047,0.8624350392878143,0.7425294276001322,14.0
S000058,phase,full,4,79261002,56.0,60,4,8,10,15,12,0.01705095286293943,0.05567039317149831,0.22796181004902166,0.021084795698144667,0.14265953547411667,0.17620060707082108,0.06506804000361555,0.06050714663367088,0.020625333665657018,0.03854910197338745,0.010965524748722692,0.0011610280363547165,0.7321754641629402,0.14873981942555647,1.0371813242139836,1.1904443993705445,1.1261205432969477,0.998654730428574,1.0446158793015938,0.8719457839356244,14.0
S000059,phase,full,4,80261005,56.0,60,4,8,10,15,12,0.029059051182908018,0.07822794380354482,0.30745529747640044,0.02836847918164601,0.12480275280483218,0.1668867846314328,0.09358141854998864,0.10320414031695596,0.03072092034647849,0.04183254574542297,0.04074535007887703,0.009876158831434901,0.4263540881071898,0.26946607717316895,1.016861880220546,1.2066268011758445,1.1926004538550425,1.261113626910951,1.0593726997731236,1.0065832026772645,14.0
S000060,phase,full,4,81261008,56.0,60,4,8,10,15,12,0.03014472546307265,0.037012506707194866,0.2622382920433325,0.024509768550730462,0.21095762005329838,0.2325579324862603,0.1431104012590052,0.11012050127001004,0.040594369945863955,0.04879238269726369,0.008302025875837725,0.002191031936117774,0.7479092946533072,0.43216077441310996,1.0684349551192034,1.1068942982008865,1.3615326871034024,1.4098539127339118,1.3184670699908128,0.999646822375586,14.0
S000061,phase,full,4,82261011,56.0,60,4,8,10,15,12,0.019699204042959956,0.03866335003697935,0.1520311031563986,0.026941527975301527,0.1351238993373238,0.2350430893110678,0.16139878529144375,0.04952593899470543,0.057187589109777254,0.052025985471993254,0.010095089249382369,0.001899886491169097,0.4618853197299911,0.213567078208738,1.3213443730958054,1.0825641749416086,1.2362697731750263,1.035477999369722,1.2792355760733585,0.7852632061534224,14.0
S000062,phase,full,4,83261014,56.0,60,4,8,10,15,12,0.022520084662700335,0.08150161996455611,0.259879848633766,0.024693771066502876,0.1975066894382679,0.17883430877317386,0.1714807961037885,0.12095998639292449,0.028632158800485762,0.023421869152088305,0.010260679218608112,0.004775163302371113,0.583188364226561,0.2567267915865837,1.2775698151573183,1.2905436039760605,0.9350674860351624,0.8984576732309044,1.1898033922337814,0.916226416960069,14.0
S000063,phase,full,4,84261017,56.0,60,4,8,10,15,12,0.016122465667675664,0.0356791862897882,0.13219650941914318,0.03275303685343022,0.11188460287237371,0.1742097434690214,0.1746047716951816,0.05324874566825835,0.034310778409839586,0.05912449124586429,0.03316488955802964,0.001571709663870765,0.36134770297625324,0.3269074416750416,1.1755481627634756,0.972207044766994,1.1915534745311556,0.85875795743155,1.1510736174206235,1.0433002015419053,14.0
